Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill
2019 Mar,658,2.895,$65.13
2019 Feb,707,2.895,$70.38
2019 Jan,761,2.895,$76.13
2018 Dec,663,2.895,$65.67
2018 Nov,685,2.895,$68.01
2018 Oct,819,2.936,$82.41
2018 Sep,"1,224",3.007,$131.02
2018 Aug,"1,311",3.007,$142.10
2018 Jul,"1,183",3.007,$125.78
2018 Jun,"1,144",3.007,$120.82
2018 May,686,2.936,$68.19
2018 Apr,626,2.936,$61.78
2018 Mar,600,2.936,$59.00
2018 Feb,757,2.936,$75.78
2018 Jan,887,2.936,$89.68
2017 Dec,637,2.936,$62.96
2017 Nov,660,2.936,$65.42
2017 Oct,888,2.727,$87.78
2017 Sep,"1,128",2.829,$116.56
2017 Aug,"1,277",2.829,$135.26
2017 Jul,"1,246",2.829,$131.36
2017 Jun,959,2.829,$96.17
2017 May,708,2.727,$68.94
2017 Apr,658,2.727,$63.69
2017 Mar,610,2.727,$58.67
2015 Jan,924,3.945,$93.01
2014 Dec,674,3.945,$65.41
2014 Nov,736,3.945,$72.76
2014 Oct,883,3.709,$86.08
2014 Sep,"1,313",3.709,$162.84
2014 Aug,"1,265",3.709,$156.00
2014 Jul,"1,182",3.709,$144.15
2014 Jun,970,3.709,$114.23
2014 May,726,3.709,$69.18
2014 Apr,625,3.709,$58.30
2014 Mar,693,3.709,$65.61
2014 Feb,837,3.709,$81.13
2014 Jan,954,3.709,$93.72
2013 Dec,828,3.709,$80.15
2013 Nov,666,3.709,$62.72
2013 Oct,940,3.372,$87.39
2013 Sep,"1,295",3.372,$153.62
2013 Aug,"1,382",3.372,$165.58
2013 Jul,"1,281",3.372,$151.69
2013 Jun,"1,071",3.372,$122.81
2013 May,733,3.372,$66.17
2013 Apr,630,3.372,$55.60
2013 Mar,617,3.372,$54.26
2013 Feb,651,3.372,$57.76
2013 Jan,903,3.372,$83.59
2010 Nov,696,3.653,$61.54
2010 Oct,946,3.653,$93.18
2010 Sep,"1,411",3.653,$146.53
2010 Aug,"1,336",3.653,$137.93
2010 Jul,"1,321",3.653,$136.21
2010 Jun,"1,098",3.653,$110.62
2010 May,707,3.653,$65.76
2010 Apr,628,3.653,$54.40
2010 Mar,807,3.653,$71.71
2010 Feb,808,3.653,$71.81
2010 Jan,997,3.653,$90.09
2009 Dec,753,3.653,$66.49
2009 Nov,682,3.653,$59.62
2009 Oct,924,3.653,$90.66
2009 Sep,"1,353",3.653,$139.88
2009 Aug,"1,457",3.653,$151.81
2009 Jul,"1,511",3.653,$158.01
2009 Jun,"1,115",3.653,$112.57
2009 May,794,3.653,$75.75
2009 Apr,664,3.653,$57.88
2009 Mar,653,3.653,$56.81
2009 Feb,708,3.653,$62.13
2009 Jan,906,3.653,$81.29
2008 Dec,732,3.653,$64.46
2008 Nov,686,3.653,$60.01
2006 Sep,"1,424",3.634,$147.75
2006 Aug,"1,428",3.634,$148.21
2006 Jul,"1,354",3.634,$139.74
2006 Jun,"1,175",3.634,$119.23
2006 May,891,3.634,$86.71
2006 Apr,768,3.634,$67.79
2006 Mar,757,3.634,$66.73
2006 Feb,665,3.634,$57.85
2006 Jan,796,3.634,$70.50
2005 Dec,820,2.796,$65.94
2005 Nov,737,2.796,$58.62
2005 Oct,"1,218",2.796,$113.95
2005 Sep,"1,430",2.796,$136.46
2005 Aug,"1,324",2.796,$125.21
2005 Jul,"1,435",2.796,$136.99
2005 Jun,"1,125",2.796,$104.08
2005 May,706,2.796,$59.60
2005 Apr,680,2.796,$53.60
2005 Mar,708,2.796,$56.07
2005 Feb,737,2.796,$58.62
2005 Jan,850,2.796,$68.59
2004 Dec,762,2.796,$60.83
2004 Nov,873,2.796,$70.61
2004 Oct,"1,052",2.796,$96.33
2004 Sep,"1,235",2.796,$115.76
2002 Jul,"1,224",1.774,$102.08
2002 Jun,"1,091",1.774,$89.32
2002 May,941,1.774,$74.93
2002 Apr,689,1.774,$47.35
2002 Mar,732,1.774,$50.70
2002 Feb,799,1.774,$55.92
2002 Jan,888,1.774,$62.86
2001 Dec,762,2.682,$59.96
2001 Nov,691,2.682,$53.78
2001 Oct,885,2.682,$77.59
2001 Sep,"1,334",2.682,$124.75
2001 Aug,"1,539",2.682,$146.28
2001 Jul,"1,320",2.682,$123.28
2001 Jun,"1,138",2.682,$104.16
2001 May,794,2.682,$68.04
2001 Apr,727,2.682,$56.91
2001 Mar,714,2.682,$55.78
2001 Feb,855,2.682,$68.05
2001 Jan,"1,019",2.211,$77.52
2000 Dec,864,2.211,$64.77
2000 Nov,804,2.211,$59.83
2000 Oct,"1,029",1.635,$81.94
2000 Sep,"1,368",1.635,$113.99
2000 Aug,"1,493",1.635,$125.81
2000 Jul,"1,442",1.372,$117.20
2002 Jul,"1,224",1.774,$102.08
2002 Jun,"1,091",1.774,$89.32
2002 May,941,1.774,$74.93
2002 Apr,689,1.774,$47.35
2002 Mar,732,1.774,$50.70
2002 Feb,799,1.774,$55.92
2002 Jan,888,1.774,$62.86
2001 Dec,762,2.682,$59.96
2001 Nov,691,2.682,$53.78
2001 Oct,885,2.682,$77.59
2001 Sep,"1,334",2.682,$124.75
2001 Aug,"1,539",2.682,$146.28
2001 Jul,"1,320",2.682,$123.28
2001 Jun,"1,138",2.682,$104.16
2001 May,794,2.682,$68.04
2001 Apr,727,2.682,$56.91
2001 Mar,714,2.682,$55.78
2001 Feb,855,2.682,$68.05
2001 Jan,"1,019",2.211,$77.52
2000 Dec,864,2.211,$64.77
2000 Nov,804,2.211,$59.83
2000 Oct,"1,029",1.635,$81.94
2000 Sep,"1,368",1.635,$113.99
2000 Aug,"1,493",1.635,$125.81
2000 Jul,"1,442",1.372,$117.20
2002 Jul,"1,224",1.774,$102.08
2002 Jun,"1,091",1.774,$89.32
2002 May,941,1.774,$74.93
2002 Apr,689,1.774,$47.35
2002 Mar,732,1.774,$50.70
2002 Feb,799,1.774,$55.92
2002 Jan,888,1.774,$62.86
2001 Dec,762,2.682,$59.96
2001 Nov,691,2.682,$53.78
2001 Oct,885,2.682,$77.59
2001 Sep,"1,334",2.682,$124.75
2001 Aug,"1,539",2.682,$146.28
2001 Jul,"1,320",2.682,$123.28
2001 Jun,"1,138",2.682,$104.16
2001 May,794,2.682,$68.04
2001 Apr,727,2.682,$56.91
2001 Mar,714,2.682,$55.78
2001 Feb,855,2.682,$68.05
2001 Jan,"1,019",2.211,$77.52
2000 Dec,864,2.211,$64.77
2000 Nov,804,2.211,$59.83
2000 Oct,"1,029",1.635,$81.94
2000 Sep,"1,368",1.635,$113.99
2000 Aug,"1,493",1.635,$125.81
2000 Jul,"1,442",1.372,$117.20
